Teams,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS,Start Date
"Bangladesh v India at Birmingham, 2017",1,1,0,0,0,-,265.00,6.59,1,265,-,15 Jun 2017
"India v Pakistan at The Oval, 2017",1,0,1,0,0,0.000,15.80,5.18,1,158,158,18 Jun 2017
"West Indies v India at Port of Spain, 2017",1,0,0,0,1,0.000,66.33,5.05,1,199,-,23 Jun 2017
"West Indies v India at Port of Spain, 2017",1,1,0,0,0,-,62.00,7.20,1,310,-,25 Jun 2017
"West Indies v India at North Sound, 2017",1,1,0,0,0,-,62.75,5.02,1,251,-,30 Jun 2017
"West Indies v India at North Sound, 2017",1,0,1,0,0,0.000,17.80,3.58,1,178,178,2 Jul 2017
"West Indies v India at Kingston, 2017",1,1,0,0,0,-,103.00,5.59,1,206,-,6 Jul 2017
"Sri Lanka v India at Dambulla, 2017",1,1,0,0,0,-,220.00,7.63,1,220,-,20 Aug 2017
"Sri Lanka v India at Pallekele, 2017",1,1,0,0,0,-,33.00,5.21,1,231,-,24 Aug 2017
"Sri Lanka v India at Pallekele, 2017",1,1,0,0,0,-,54.50,4.82,1,218,-,27 Aug 2017
"Sri Lanka v India at Colombo (RPS), 2017",1,1,0,0,0,-,75.00,7.50,1,375,-,31 Aug 2017
"Sri Lanka v India at Colombo (RPS), 2017",1,1,0,0,0,-,59.75,5.13,1,239,-,3 Sep 2017
"India v Australia at Chennai, 2017/18",1,1,0,0,0,-,40.14,5.62,1,281,-,17 Sep 2017
"India v Australia at Kolkata, 2017/18",1,1,0,0,0,-,25.20,5.04,1,252,252,21 Sep 2017
"India v Australia at Indore, 2017/18",1,1,0,0,0,-,58.80,6.14,1,294,-,24 Sep 2017
"India v Australia at Bengaluru, 2017/18",1,0,1,0,0,0.000,39.12,6.26,1,313,-,28 Sep 2017
"India v Australia at Nagpur, 2017/18",1,1,0,0,0,-,81.00,5.67,1,243,-,1 Oct 2017
"India v New Zealand at Mumbai, 2017/18",1,0,1,0,0,0.000,35.00,5.60,1,280,-,22 Oct 2017
"India v New Zealand at Pune, 2017/18",1,1,0,0,0,-,58.00,5.04,1,232,-,25 Oct 2017
"India v New Zealand at Kanpur, 2017/18",1,1,0,0,0,-,56.16,6.74,1,337,-,29 Oct 2017
"India v Sri Lanka at Dharamsala, 2017/18",1,0,1,0,0,0.000,11.20,2.92,1,112,112,10 Dec 2017
"India v Sri Lanka at Mohali, 2017/18",1,1,0,0,0,-,98.00,7.84,1,392,-,13 Dec 2017
"India v Sri Lanka at Visakhapatnam, 2017/18",1,1,0,0,0,-,109.50,6.80,1,219,-,17 Dec 2017
"South Africa v India at Durban, 2017/18",1,1,0,0,0,-,67.50,5.93,1,270,-,1 Feb 2018
"South Africa v India at Centurion, 2017/18",1,1,0,0,0,-,119.00,5.80,1,119,-,4 Feb 2018
"South Africa v India at Cape Town, 2017/18",1,1,0,0,0,-,50.50,6.06,1,303,-,7 Feb 2018
"South Africa v India at Johannesburg, 2017/18",1,0,1,0,0,0.000,41.28,5.78,1,289,-,10 Feb 2018
"South Africa v India at Port Elizabeth, 2017/18",1,1,0,0,0,-,39.14,5.48,1,274,-,13 Feb 2018
"South Africa v India at Centurion, 2017/18",1,1,0,0,0,-,103.00,6.40,1,206,-,16 Feb 2018
"England v India at Nottingham, 2018",1,1,0,0,0,-,134.50,6.69,1,269,-,12 Jul 2018
"England v India at Lord's, 2018",1,0,1,0,0,0.000,23.60,4.72,1,236,236,14 Jul 2018
"England v India at Leeds, 2018",1,0,1,0,0,0.000,32.00,5.12,1,256,-,17 Jul 2018
"Hong Kong v India at Dubai (DSC), 2018",1,1,0,0,0,-,40.71,5.70,1,285,-,18 Sep 2018
"India v Pakistan at Dubai (DSC), 2018",1,1,0,0,0,-,82.00,5.65,1,164,-,19 Sep 2018
"Bangladesh v India at Dubai (DSC), 2018",1,1,0,0,0,-,58.00,4.78,1,174,-,21 Sep 2018
"India v Pakistan at Dubai (DSC), 2018",1,1,0,0,0,-,238.00,6.02,1,238,-,23 Sep 2018
"Afghanistan v India at Dubai (DSC), 2018",1,0,0,1,0,0.000,25.20,5.05,1,252,252,25 Sep 2018
"Bangladesh v India at Dubai (DSC), 2018",1,1,0,0,0,-,31.85,4.46,1,223,-,28 Sep 2018
"India v West Indies at Guwahati, 2018/19",1,1,0,0,0,-,163.00,7.73,1,326,-,21 Oct 2018
"India v West Indies at Visakhapatnam, 2018/19",1,0,0,1,0,0.000,53.50,6.42,1,321,-,24 Oct 2018
"India v West Indies at Pune, 2018/19",1,0,1,0,0,0.000,24.00,5.03,1,240,240,27 Oct 2018
"India v West Indies at Mumbai (BS), 2018/19",1,1,0,0,0,-,75.40,7.54,1,377,-,29 Oct 2018
"India v West Indies at Thiruvananthapuram, 2018/19",1,1,0,0,0,-,105.00,7.07,1,105,-,1 Nov 2018
"Australia v India at Sydney, 2018/19",1,0,1,0,0,0.000,28.22,5.08,1,254,-,12 Jan 2019
"Australia v India at Adelaide, 2018/19",1,1,0,0,0,-,74.75,6.06,1,299,-,15 Jan 2019
"Australia v India at Melbourne, 2018/19",1,1,0,0,0,-,78.00,4.74,1,234,-,18 Jan 2019
"New Zealand v India at Napier, 2018/19",1,1,0,0,0,-,78.00,4.47,1,156,-,23 Jan 2019
"New Zealand v India at Mount Maunganui, 2018/19",1,1,0,0,0,-,81.00,6.48,1,324,-,26 Jan 2019
"New Zealand v India at Mount Maunganui, 2018/19",1,1,0,0,0,-,81.66,5.69,1,245,-,28 Jan 2019
"New Zealand v India at Hamilton, 2018/19",1,0,1,0,0,0.000,9.20,2.98,1,92,92,31 Jan 2019
"New Zealand v India at Wellington, 2018/19",1,1,0,0,0,-,25.20,5.05,1,252,252,3 Feb 2019
